id_EXIST,lang,number_annotators,gender_annotators,age_annotators,labels_task1,clean_tweet
200001,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,NO,NO,YES,NO","ffs! how about laying the blame on the bastard who murdered her? novel idea, i know. "
200002,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,YES,NO,YES,YES","writing a uni essay in my local pub with a coffee. random old man keeps asking me drunk questions when i'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"".  is alive and well "
200003,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,NO,YES,NO,YES", it is 2021 not 1921. i dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. not impressed 
200004,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,NO,YES,NO,NO"," this is unacceptable. use her title as you did for all the men interviewed. she is, in fact, senior to angus   "
200005,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,NO,NO,NO,YES",making yourself a harder target basically boils down to make sure they target someone else  
200006,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,YES,YES,YES,YES","according to a customer i have plenty of time to go spent the stirling coins he wants to pay me with, in derry. ""just like any other woman, i'm sure of it.""  in retail."
200007,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,YES,YES,YES,YES","so only 'blokes' drink beer? sorry, but if you aren't a 'bloke' you drink wine apparently.......  alive and well in    "
200008,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","NO,NO,NO,YES,NO,NO",new to the shelves this week - looking forward to reading these books       
200009,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,NO,NO,YES,NO", we can &amp; need to do better 
200010,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","NO,NO,NO,NO,YES,NO",i guess thats fairly normal for a neanderthal 
200011,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,YES,YES,YES,YES,YES"," means women usually end up in lower paid support work; when that starts to change, traditionalists notice unfairness that previously hasn't bothered them at all. "
200012,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,NO,YES,NO,NO,YES",i actually had an email from liz truss today. she's living the dream. 
200013,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,NO,YES,YES,YES,NO","       hi orla. interesting piece. on no 2. as a policy response, do you believe early-in-life prosecution and punishment is the way to go with boys, young men when they offend against girls and women? is this how you see by a zero tolerance approach being instituted?"
200014,en,6,"F,F,M,M,M,F","18-22,23-45,18-22,23-45,46+,46+","YES,NO,YES,NO,YES,NO","for yourself of course. let's start with the so called gender pay gap"" with a link to an ons page. this  alone is an example of why feminism is needed. i'd like to add that out of 164 emoji reactions, only 30 were laughing so it really is an issue  4/5 "
