id_EXIST,lang,tweet,number_annotators,gender_annotators,age_annotators,labels_task1,encoded_annotations
100001,es,ignora capulloel problema youtuber denuncia acoso afecta gente izquierdas ejemplo video gamergate presenta normal acoso reciben fisher anita zoey amenazas bomba,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100002,es,si comicsgate parece gamergate pues bien acoso si haciendo sabotaje personajes gustan entonces gracias darme razon lloricas ofendidos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100003,es,lee gamergate cambiado manera comunicamos internet fanboys halo estan toxicos fanboys comunidades/juegos tambien querido coger pauta man_shrugging_medium-dark_skin_tone,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100005,es,entonces asi mercado mejor hacer cambiarlo seguir alimentando machismo consumidores lugar apoyar gente victimas gamergateacerca tenian implica imperativo entonces entiendo buscaban,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'YES', 'NO', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100006,es,aaah si andrew dobson dedico echar mierda gamergate mas puro estilo white knight deviantart echo encima,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100008,es,gringa sigue llorando gamergate coincidencia pronombres perfil,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100009,es,conoces decoracion estilo gamer adolescentes ?te explicamos post heart sigues?inspira c ional cuadrado interior is mo home decor ideas madrid chamber i salamanca gamers gamer gate gamer girl,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100010,es,ces 2022 asus rog rise of gamers evento lanzamiento amd2022 amd amd red team am dry zen intel nvidia nvidia omni verse nvidia geforce nvidia studio gamer girl gamers gamer gate gamers unite game room stock market stocks stocks to buy stock,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100011,es,mierda siento vieja decis gamergate bardo __xd,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100012,es,bannon tambien historiaaqui hablan buen podcast 16 - ganadores gamergate,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
