id_EXIST,lang,number_annotators,gender_annotators,age_annotators,labels_task1,clean_tweet
100001,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","YES,YES,NO,YES,YES,YES"," ignora al otro, es un capullo.el problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierdas. por ejemplo, en su video sobre el gamergate presenta como ""normal"" el acoso que reciben fisher, anita o zey cuando hubo hasta amenazas de bomba."
100002,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,YES,NO", si comicsgate se parece en algo a gamergate pues muy bien por el acoso. y si se est haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razn. sois unos lloricas ofendidos.
100003,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,NO,NO"," lee sobre gamergate, y como eso ha cambiado la manera en la cual nos comunicamos en el internet. los fanboys de halo estn txicos pero los fanboys de otras comunidades/juegos tambin han querido coger pauta con eso "
100004,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,YES,NO,YES,YES"," un retraso social bastante lamentable, gamergate, trump, y aqu en espaa pues lo que tenemos..."
100005,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","YES,NO,YES,NO,YES,YES","   entonces como as es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las vctimas del gamergate.acerca de lo otro, el ""tenan"" implica un imperativo entonces no entiendo lo del buscaban."
100006,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,NO,NO"," aaah s. andrew dobson. el que se dedic a echar mierda del gamergate al ms puro estilo white knight, y todo deviantart se le ech encima"
100007,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,YES,YES,NO,NO,YES","  estaba del lado del gamergate si mal no recuerdo. encaja con el perfil de thq nordic, lol"
100008,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","YES,YES,YES,YES,YES,YES"," esta gringa sigue llorando por el gamergate, que ""coincidencia"" que tenga pronombres en su perfil"
100009,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,NO,NO",.conoces la    para   ?te lo explicamos en nuestro  :   sigues?         
100010,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,YES,NO,NO,NO",ces 2022 asus rog rise of gamers evento de lanzamiento                   
100011,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,NO,NO","  mierda, me siento vieja cuando decs gamergate, que bardo .__.xd"
100012,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,NO,NO","  bannon tiene tambin historia.aqu hablan de l, buen podcast,  - los ganadores de gamergate "
100013,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,NO,NO","me perd la charada sicotica del  (bueno, no tanto, gracias a  ), pero no me perder sta. "
100014,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,NO,NO,NO,YES","hasta ese momento la izquierda, mucho ms politizada, por su carcter absolutizador, y mejor organizada, tena el monopolio del control en las redes alejandro cuevas"
100015,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,YES,NO,NO,NO","y por qu digo que son dogwhistles? porque esto ya lo hemos vivido una y otra y otra vez en los cmics... pas con  en 2017, un hijo bastardo de , el origen oscuro de todos estos nios ratas berrinchudos. y pues ya chole, no?"
100016,es,6,"F,F,F,M,M,M","18-22,23-45,46+,46+,23-45,18-22","NO,NO,YES,YES,NO,NO"," cuando te toque experimentar algo similar al gamergate, veremos si mantienes la misma postura de hoy, juas juas juas "
