id_EXIST,lang,tweet,number_annotators,gender_annotators,age_annotators,labels_task1
100001,es, ignora al otro es un capulloel problema con este youtuber denuncia el acoso cuando no afecta a la gente de izquierdas por ejemplo en su video sobre el gamergate presenta como normal el acoso que reciben fisher anita o zoey cuando hubo hasta amenazas de bomba,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'YES', 'YES']"
100002,es, si comicsgate se parece en algo a gamergate pues muy bien por el acoso y si se esta haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razon sois unos lloricas ofendidos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'YES', 'NO']"
100003,es, lee sobre gamergate y como eso ha cambiado la manera en la cual nos comunicamos en el internet los fanboys de halo estan toxicos pero los fanboys de otras comunidades/juegos tambien han querido coger pauta con eso man_shrugging_medium-dark_skin_tone,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100004,es, un retraso social bastante lamentable gamergate trump y aqui en espana pues lo que tenemos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'YES', 'YES']"
100005,es,   entonces como asi es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las victimas del gamergateacerca de lo otro el tenian implica un imperativo entonces no entiendo lo del buscaban,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'YES', 'NO', 'YES', 'YES']"
100006,es, aaah si andrew dobson el que se dedico a echar mierda del gamergate al mas puro estilo white knight y todo deviantart se le echo encima,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100007,es,  estaba del lado del gamergate si mal no recuerdo encaja con el perfil de thq nordic lol,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'NO', 'NO', 'YES']"
100008,es, esta gringa sigue llorando por el gamergate que coincidencia que tenga pronombres en su perfil,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']"
100009,es,conoces la decoracion estilo gamer para adolescentes  ?te lo explicamos en nuestro post  red_heart  sigues?inspira c ional cuadrado interior is mo home decor ideas madrid chamber i salamanca gamers gamer gate gamer girl ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100010,es,ces 2022 asus rog rise of gamers evento de lanzamiento  amd2022 amd amd red team am dry zen intel nvidia nvidia omni verse nvidia geforce nvidia studio gamer girl gamers gamer gate gamers unite game room stock market stocks stocks to buy stock,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']"
100011,es,  mierda me siento vieja cuando decis gamergate que bardo __xd,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100012,es,  bannon tiene tambien historiaaqui hablan de el buen podcast 16 - los ganadores de gamergate ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100013,es,me perdi la charada sicotica del gamer gate bueno no tanto gracias a  smiling_face_with_smiling_eyes pero no me perdere esta ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100014,es,hasta ese momento la izquierda mucho mas politizada por su caracter absolutizador y mejor organizada tenia el monopolio del control en las redespen alejandro cuevas,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']"
100015,es,y por que digo que son dogwhistles? porque esto ya lo hemos vivido una y otra y otra vez en los comics paso con comics gate en 2017 un hijo bastardo de gamer gate el origen oscuro de todos estos ninos ratas berrinchudos y pues ya chole no?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']"
100016,es, cuando te toque experimentar algo similar al gamergate veremos si mantienes la misma postura de hoy juas juas juas ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'NO', 'NO']"
100017,es,la que se levanto sin miedo al exito fue la rata nro 1 de rust //tco/ezxnddepqerust gamer girls gamer gate ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']"
100018,es, gamergate causo esto gamergate causo esto otro gamergate mato a esta persona gamergate gamergate gamergate putoooos reporteros de mieerdaaa,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'YES', 'NO']"
100019,es, en 2014 empezo gamergate asi que igual mejor no,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100020,es,los mejores 100 videojuegos de la historia grinning_facegrinning_facegrinning_facegrinning_face gamers gamer gate ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100021,es,the gays despues de escuchar babylon house labs cuando they harassed gaga pa que lo saque ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'YES']"
100022,es,  te refieres a algo asi?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100023,es, lol yo me meti en un lio con esa comunidad de cosplay porque alguien vio sin contexto mi story defendiendo una pana who has being harassed y yo diciendo que el bully se copio de sus cosplays y fue ella a fb a ridiculizarme porque los cosplays no se pueden copiar,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'YES', 'YES']"
100024,es,hay hembras de colibri de cuello blanco florisuga mellivora que adoptan una coloracion similar al plumaje de los machos para evitar a los machos mas agresivos de esta forma escapan de sus intentos de seduccion y tienen mas tiempo para alimentarse,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100025,es, las mujeres no deberiamos vivir con miedo tienen todo mi apoyo las army de bangladesh we stand with bangladesh armys and all young women being harassed everyday end violence,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'YES', 'NO']"
100026,es,ya son las 0000 en arabia por favor difundan para que todas las chicas sean encontradas mientras mas tarde puede ser mas peligroso   if you are missing or you are being harassed enter this space,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'NO', 'YES']"
100027,es,yall really harassed this person por algo tan inofensivo lmao a la verdad que no tienen empatia ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']"
100028,es,  quiet sexist %,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'YES', 'YES']"
100029,es,fuentes backhand_index_pointing_down_light_skin_toneman_technologist_medium_skin_tone  fin del hiloconoce mas sobre tu derecho a creer en  ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100030,es, is a great example of this they don't care if i have being supplanted harassed or else even with evidence the problem was me por supuesto en quora espanol hay 1 tipo con cientos de cuentas ofensivas y sigue ahi y el clonador de cuentas  ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'NO', 'NO']"
100031,es,this artist is only 20 that is so young to be harassed like this no les dan verguenza hablar tan mal de alguien tan joven? regardless of what the original convo was about la anti negritud de mestizos y blancos en la diaspora y en latinoamerica es algo asqueroso,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'NO', 'NO']"
100032,es,    ay se me olvidaban las pruebas por aquello de no hablar sobre invenciones como tu   otra,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']"
100033,es,she harassed the senator asi que vayanse a mamar ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'YES', 'NO']"
100034,es,eeuu documentos desclasificados revelan que misteriosos drones -en julio de 2019- acosaron a buques de guerra yanquis en las costas de california foia mysterious drones harassed us navy warships off california ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
100035,es,devastador pero con critica constructiva  chris cuomo sexually harassed me i hope hell use his power to make change ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
100036,es, loca d mierda en k momento,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'NO']"
100037,es,   el chico sandman d escuela catolica que viajo a washington con un grupo de companeros y fueron harassed y atacados x black israelitessecta y un nativo americano y que cnn etc dijeron que fie al reves causando expulsiones amenazas de muerte etc aprox 100 millones gano,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
