id_EXIST,lang,tweet
500001,es, todo gamergate desde el desarrollo hasta los foros de juegos clasico del mundo de los videojuegos
500002,es,  hombre no es comparable mira lo del gamergate
500003,es,yo buscando las empresas metidas en el gamergate por etc etc para comprar todos sus productos
500004,es, primero fue internet luego el gamergate la manosfera y su misoginia extrema sin que las plataformas movieran un dedo los incel-asesinatos la extrema derecha capitalizando el odio la mimetizacion de estas ideas con las de un debate respetable y finalmente aqui estamos
500005,es, yo estuve metido en el gamergate asi que desafortunadamente se de mas sob
500006,es,  el gamergate jodio al internet para siempre
500007,es,  seria bueno que tambien digan que fue en canadaflag_for_Canada el primer pais donde se reporto que las parejas gy que adoptaron hijos abusaron de ellos el 2008que selectivos son con las porquerias que publican no?    
500008,es,ellas muy juntas y mas solas que nunca las consecuencias de todo mozambique 
500009,es,hospital de ninos de dc acosado por servicios para jovenes trans
500010,es,20mins deep into bereal y nunca me habia sentido tan presionada a tomar mi telefono nope i dont want to feel harassed me les despido saluting_face
500011,es,anthony fauci el principal experto en enfermedades infecciosas de eeuu senalo en el mes de agosto de 2022 que habia recibido amenazas de muerte y que su familia se encontraba habitualmente expuesta al acoso
500012,es, lo se pero literalmente la chica estaba siendo harassed like como puede sonreir asi
500013,es,          marce tienes daviplata?
500014,es,a punto de ver el gran estreno de j aura basada en  el caso de lama nada    teatro mexicano 
500015,es,que cabroncete que es nuestro tio pablo con sus bromitascon lo agustito que estamos en el cesped fresquitogrindogdogdogjoyroflroflroflheart_eyessweat_dropssweat_dropssweat_dropslama nada dae nerys tyrion kas mis socios mis hermanos mis mejores amigos amor per run o ellos nunca te abandon arian lod an to do a cambio de nada 
500016,es,  y desde ya ansios por volver a llenar las gradas con uds a todas partes  y ahora reparta bolazos a diestra y siniestra excepto a los junta bolas pleading_faceroflroflroflroflvamos leon as somos lama nada
500017,es,tbt maria rosa gregorio polanco e ysabel veras por alla en octubre 2016 durante una de las kermes desarrolladas para la recaudacion de fondo del equipola manada es tradicion familia unidad y jubilosoftballwolfsoftballwolftbt  au uuuulama nadalobos fans clublobos soft bol club 
500018,es,agosto 9 enterate de todo studio_microphone puedes ver el segmento entero de el bla bla bla con hector joaquin en la seccion de podcasts de lamusica app callinghector joaquin lama nada el bla bla bla la musica      
500019,es,  sin pruebas??que fue en publicoque lo vimos todos que me estas contandoque no me mezcles churras con merinasque de aqui a que me vengas con el metoo y el notallmen queda poquito y no me apetece acabar discutiendo de verdad q lo veo venir
500020,es, con el proceso legal no para hacer arder a una persona no se ni quienes sean en este caso hay mujeres que son victimas pero tambien hay corruptas violentas y victimarias el movimiento me too ya cumplio su cometido que sigue? como avanzar sin que sea un arma a capricho?
500021,es,  despedidos los dos pq son adultos y es una relacion consensual y transaccional que luego no se inventen un metoo pues no lo espar de ladrones y mentirosos incluso mandaron a despedir gente x la investigacionbien recuerdo el nivel de poder con q llego esa pisada fea vomiting_face
500022,es, desde la olivia que anda trepadota en ladrillo por ser directorael video de la llama a shia esta asi de la wey toda condescendiente para mi floque para esto segun ella le pidio a shia retirarse de la pelo porque pues metooy andale que nada la wey fingiendo 
500023,es, si quieres dime alguna y las metoo
500024,es, iniciamos otro movimiento me too como ustedesa no funcionaria es solo de hombre a mujer
500025,es, las personas mgtow y el masculinismo no deberian ser compatibles
500026,es,   igual si te fijas en su cuenta claramente en un mgtow
500027,es,  es verdad se les dijo pero no escucharon ahora que pidan perdon y pidan que no tengamos mas desgracias
500028,es,machistas misoginos mgtow y demas caterva que pulula por el mundo sois igual que las feminazis seres amargados cargados de malas experiencias que solo sabeis llorar y apretar los punitos es que no lo veis?
500029,es,                   a ver si entiendo el no es mgtow y tiene novia por lo tanto no es redpiler? no veo el remate ni el picante 
500030,es,vi esta imagen en una perfil mgtow y la acotacion que hizo no me parecio interesante pero la imagen si xd que piensan de estos terminos?? el love bombing y el caspering me parecen una estupidez xd 
500031,es,igual obvio que es una microagresion que llega a ser una anecdota chistosa mas que nada pero me gustaria tener un nombre pa ese tipo de experiencias porque pasa harto
500032,es,oh boyahora micro ag resin esta tirandole a  porque lo expuso en un video donde se ve lo que hizo y ahora lo niega
500033,es, publicistas del rechazo los instamos a no usar la expresion como el ajo para reforzar algo malo la aaj asociacion de amantes del ajo se declara en estado de alerta y vigilancia ante esta microagresion a sus intereses hay millones de votos en juego
500034,es,y si si creo que se puede usar como una forma de microagresion -como casi todo- pero tambien creo que esa generalizacion no es muy brillante que digamos
500035,es, te perdiste por completo la parte que dice que su lugar de trabajo lo aislo despues de divulgar al director que era un hombre queer? la frialdad pasiva sigue siendo discriminacion a eso se le llama microagresion te gustaria ser tratado como algo inconveniente por existir?
500036,es,    son microagresion tras microagresion lo que se hace notar la homofobia la academia corrio a un grupo de dragas por que no quisieron en bailar en ropa de hombre dime eso no es homofobia? sacaron a dennnis del closet afuerzas que hasta danna paola lloro eso no es homofobia?
500037,es, yaaaaa ya entendi claro yo igual creo que eso puede ser un estereotipo no se si lo habria leido como misoginia porque pa mi es mas como un micromachismo pero entiendo que puede ser un estereotipo anticuado
500038,es,ahora le llaman micromachismo al hecho de ser un caballero cada vez estan mas pendejas esas feministas
500039,es,cormillot no se dio cuenta pero visibilizo algo de lo que no se habla mucho el ultimo bastion intacto del micromachismo mas puro son las oficinas
500040,es,hoy en micromachismo en mi amiga como no te gusta cocinar ya sabe tu novio?no se si reirme o preguntarle si todo bien en su casa
500041,es,cuando una mujer denuncia machismo porque tuvo sexo consensuando con un tipo que no la llamo mas esta llevando el tema a un punto superficial estoy consciente de lo que es el micromachismo y nunca lo defenderia pero no se mata una hormiga con una granada
500042,es, no te has perdido muchoseguimos dedicados al microfascismo el micromachismo y a la violencia estetica contra las mujeres gordas proteticas y con mastectomiasteam fach a
500043,es,    habla usted de misoginia ante una generalizacion para justificar acto seguido la generalizacion en la queja de un hombre con lo de notallmen en efecto lo del bueno de skiner afecta a hombres y mujeres y se da bastante en los perfiles narcisistas citados por el senor
500044,es,   dejalono da pa mas el pobre esta erre que erre con notallmen
500045,es,quien de ustedes fue el responsable de ensenarle a su tio mario a usar tuiter?nomas tuitea pura tonteria ya quitenle el wifi nomas anda dando pena ajena con su muy necesario comentario de not all men 
500046,es,  que pasa aqui? que alguien explique por favor not all men ? el deudor no ejerce violencia economica?
500047,es,  imagina k te moleste un tweet  sobsobsobsobsobnot all mensobsobsobsob
500048,es, te considero dentro de los sanos no te pongas notallmen sino te cabe el sayo no te lo pongas jajajaj
500049,es,grite fuck the patriarchy rodeada de swifties la mejor noche de mi vida 
500050,es,amo que mov dijo fuck the patriarchy y meli nos enseno saltos de hombres que por cierto son re divertidos
500051,es, una clara muestra del machismo tan arraigado que hay eb la sociedad porque si la situacion fuera que los hombres comprar un disco de sus favs y nosotras las mujeres las fichas esas nos criticarian igual cursing_face como dijo la doctora swift fuck the patriarchy mi plata mi decision
500052,es,yo no quiero fuck the patriarchy estoy harta de que para ustedes la penetracion sea sinonimo de humillacion y sometimiento que profundamente violenta y falocentrica es esa concepcion
500053,es,cada dia que pasa entiendo mas el fuck the patriarchy  de all too well
500054,es,patriarchy patriarcatpatriarcado patriarchy patriarca tpatriarca do 
500055,es,register to vote  womens equity day womens rights equity womens day amanda gorman poem registrate para votar  equidad de la mujer equidad derechos de la mujer dia de la mujer a marda gorman poema
500056,es,este dia de la mujer en sudafrica  siempre firme apoyando el tema global de trabajo equitativo entre generos aqui un recordatorio del dia internacional de la mujer en un mensaje de nuestro equipo de medio oriente &amp africa womens day gender equity
500057,es,confiedance team building direct selling  motivation nation republic day facebook insta gram posts leadership womens day  
500058,es, single cabnew nissan navara made for your journeywomens day
500059,es,the venetian resort  las vegas   n fts nft community crypto com nft  cr of am nba wnba nyc california crypto uk houston calabasas new york japan stocks south korea milan  art investing womens day 420 
500060,es, uno con el universosiempre para siempre siempredia internacional de los pueblos indi gen as pueblos origin a riossan ay des pier ta star2 09agohealth indigenous day feliz martes a todosindigenous women ala tarde cosmo vision womens day women tuesday vibe 
500061,es,no no 1000x no womens rights womens rights womens rights womens rights are human rights 
500062,es,putin entrega el poder que no puedes con ucrania y tampoco con rusia rusia vs ucrania rusia   iran protests 2022 womens rights rusia vs ukraina
500063,es,duradry - excessive perspiration &amp odor control wellness health   fitness healthy healthy self care trending trending now lifestyle yoga beauty women womens rights   workouts  skincare weight loss life drawing   organic natural healthy food 
500064,es,  asi entre naif y reivindicativomusclela senora de 80 anos haciendo sus ejercicios con sus churrosarte de mujeres womens artglobal womenwomens rightswomens rights are human rightslet julie swim 
500065,es,hay dos caminos que puedes tomar el tuyo y el que los otros eligen para ti enola butterflylas nias pueden enola holmes alone la ciudad de las diosas womens rights fight like a girl purple_heartflexed_biceps_light_skin_tone 
